Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
0,AIDS,Fever, Fatigue, Weight loss, Frequent infections
1,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
2,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
3,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
4,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
5,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
6,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
7,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
8,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
9,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
10,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
11,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
12,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
13,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
14,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
15,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
16,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
17,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
18,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
19,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
20,Common Cold,Sneezing, Runny nose, Sore throat, Cough
21,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
22,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
23,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
24,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
25,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
26,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
27,Dermatitis,Itching, Redness, Swelling, Skin irritation
28,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
29,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
30,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
31,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
32,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
33,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
34,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
35,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
36,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
37,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
38,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
39,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
40,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
41,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
42,Gout,Joint pain, Redness, Swelling, Warmth
43,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
44,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
45,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
46,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
47,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
48,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
49,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
50,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
